YEAR,Car_Age,MILEAGE,CAR_PRICE,Website,Used/New,Model
2019,4,29760,26995,cargurus,Used,XSE V6 FWD
2020,3,62343,21724,cargurus,Used,XLE FWD
2022,1,55856,23090,cargurus,Used,SE FWD
2022,1,63663,21955,cargurus,Used,LE FWD
2023,0,32868,23900,cargurus,Used,LE FWD
2023,0,N/A,24811,cargurus,New,LE FWD
2018,5,94935,17400,cargurus,Used,LE 
2022,1,60728,22495,cargurus,Used,SE FWD
2014,9,92343,14599,cargurus,Used,XLE V6
2017,6,56256,19961,cargurus,Used,XSE V6 
2022,1,131756,16988,cargurus,Used,SE FWD
2023,0,43904,21554,cargurus,Used,SE FWD
2012,11,205486,6399,cargurus,Used,SE 
2023,0,72911,19555,cargurus,Used,LE FWD
2022,1,55571,21984,carfax,Used,SE
2022,1,50415,26619,carfax,Used,XSE
2007,16,108919,7000,carfax,Used,CE
2022,1,40688,23900,carfax,Used,LE 
2023,0,34207,31790,carfax,Used,XSE
2022,1,78340,25677,carfax,Used,XSE
2022,1,70858,21997,carfax,Used,SE Nightshade
2023,0,87108,20988,carfax,Used,SE
2019,4,38867,19293,carfax,Used,LE
2019,4,145556,14448,carfax,Used,SE
2022,1,59608,24000,carfax,Used,SE
2022,1,25818,26499,carfax,Used,SE
2022,1,23391,28734,carfax,Used,XSE
2023,0,20769,26497,carfax,Used,LE
2021,2,64778,21588,carfax,Used,SE Night Shade
2022,1,21000,26988,carmax,Used,SE Night Shade
2019,4,90000,19998,carmax,Used,LE
2013,10,121000,15998,carmax,Used,SE
2018,5,98000,20998,carmax,Used,SE
2019,4,6000,24998,carmax,Used,LE
2021,2,14000,35998,carmax,Used,TRD
2023,0,2000,27998,carmax,Used,LE
2015,8,70000,18998,carmax,Used,SE
2021,2,28000,28998,carmax,Used,SE
2015,8,107000,15998,carmax,Used,SE
2022,1,13000,25998,carmax,Used,LE
2018,5,90000,18998,carmax,Used,SE
2015,8,101000,15998,carmax,Used,LE
2022,1,57000,23998,carmax,Used,SE
2021,2,51000,23998,carmax,Used,SE